Real-time,Relative Humidity (%)
2018-02-01 00:59:51,73.69
2018-02-01 01:59:50,69.49
2018-02-01 02:59:50,68.35
2018-02-01 03:59:59,71.91
2018-02-01 04:59:53,72.22
2018-02-01 06:59:50,73.53
2018-02-01 07:59:56,70.81
2018-02-01 08:59:50,68.77
2018-02-01 09:59:50,72.5
2018-02-01 10:59:54,75
2018-02-01 11:59:56,77.37
2018-02-01 12:59:50,80.5
2018-02-01 13:59:50,83.1
2018-02-01 14:59:50,82
2018-02-01 15:59:50,86.8
2018-02-01 16:59:50,84.5
2018-02-01 17:59:55,91.4
2018-02-01 18:59:50,90.1
2018-02-01 19:59:54,88.2
2018-02-01 20:59:50,85.9
2018-02-01 21:59:50,84.8
2018-02-01 23:00:08,83
2018-02-01 23:59:59,82
2018-02-02 00:59:50,84.3
2018-02-02 01:59:55,82.2
2018-02-02 02:59:50,78.99
2018-02-02 03:59:58,73.79
2018-02-02 04:59:56,78.38
2018-02-02 05:59:55,76.51
2018-02-02 06:59:50,75.27
2018-02-02 07:59:50,77.53
2018-02-02 08:59:57,79
2018-02-02 09:59:52,78.98
2018-02-02 10:59:50,79.94
2018-02-02 11:59:50,78.08
2018-02-02 12:59:58,79.9
2018-02-02 13:59:50,77.94
2018-02-02 14:59:57,76.62
2018-02-02 15:59:50,75.25
2018-02-02 16:59:50,76.37
2018-02-02 17:59:50,80.9
2018-02-02 18:59:50,82.1
2018-02-02 19:59:50,81.6
2018-02-02 20:59:59,75.45
2018-02-02 21:59:49,76.88
2018-02-02 22:59:50,79.15
2018-02-02 23:59:57,83.4
2018-02-03 00:59:57,82.5
2018-02-03 01:59:51,84.1
2018-02-03 02:59:50,81.4
2018-02-03 03:59:58,81.8
2018-02-03 04:59:49,81.6
2018-02-03 05:59:49,85.4
2018-02-03 06:59:50,84.5
2018-02-03 07:59:53,83.4
2018-02-03 08:59:50,80.9
2018-02-03 09:59:50,77.32
2018-02-03 10:59:57,75.7
2018-02-03 11:59:58,76.72
2018-02-03 12:59:49,77.64
2018-02-03 13:59:54,79.01
2018-02-03 14:59:50,81
2018-02-03 15:59:52,79.41
2018-02-03 16:59:55,78.27
2018-02-03 17:59:50,79.39
2018-02-03 18:59:50,81.4
2018-02-03 19:59:57,84.9
2018-02-03 20:59:49,82.1
2018-02-03 21:59:53,79.97
2018-02-03 22:59:50,85.2
2018-02-03 23:59:58,84.5
2018-02-04 00:59:51,84.4
2018-02-04 01:59:50,80.7
2018-02-04 03:59:50,81.5
2018-02-04 04:59:54,81.7
2018-02-04 05:59:58,82.5
2018-02-04 06:59:50,86.3
2018-02-04 07:59:49,84.7
2018-02-04 08:59:50,89.5
2018-02-04 09:59:50,89.8
2018-02-04 10:59:54,89.1
2018-02-04 11:59:55,89.2
2018-02-04 12:59:49,89.6
2018-02-04 13:59:53,90.4
2018-02-04 14:59:56,88.7
2018-02-04 15:59:58,91.8
2018-02-04 16:59:49,93
2018-02-04 17:59:50,93.2
2018-02-04 18:59:50,93.1
2018-02-04 19:59:50,93.2
2018-02-04 20:59:49,93.5
2018-02-04 21:59:52,94
2018-02-04 22:59:57,93.5
2018-02-04 23:59:58,93
2018-02-05 00:59:50,92.9
2018-02-05 01:59:49,93.9
2018-02-05 02:59:50,93.5
2018-02-05 03:59:58,93.4
2018-02-05 05:00:04,92.7
2018-02-05 05:59:49,91.8
2018-02-05 06:59:53,90.4
2018-02-05 07:59:50,90.7
2018-02-05 08:59:58,89.5
2018-02-05 09:59:52,90.4
2018-02-05 10:59:50,90.2
2018-02-05 11:59:49,91
2018-02-05 12:59:49,92
2018-02-05 13:59:53,92.3
2018-02-05 14:59:50,89.9
2018-02-05 15:59:49,93
2018-02-05 16:59:50,92.8
2018-02-05 17:59:49,94.3
2018-02-05 18:59:58,92.6
2018-02-05 19:59:49,94.5
2018-02-05 20:59:50,94.2
2018-02-05 21:59:49,93.5
2018-02-05 22:59:53,94.7
2018-02-05 23:59:57,94.9
2018-02-06 00:59:49,95
2018-02-06 01:59:49,94.2
2018-02-06 02:59:50,93.1
2018-02-06 03:59:50,92.1
2018-02-06 04:59:49,92.2
2018-02-06 05:59:49,89.1
2018-02-06 06:59:49,86.2
2018-02-06 07:59:53,82
2018-02-06 08:59:55,82.6
2018-02-06 09:59:56,82.3
2018-02-06 10:59:49,81.7
2018-02-06 11:59:55,81.2
2018-02-06 12:59:49,78.96
2018-02-06 13:59:54,81.2
2018-02-06 14:59:50,84.5
2018-02-06 15:59:50,84.3
2018-02-06 16:59:56,83.3
2018-02-06 17:59:49,83.7
2018-02-06 18:59:49,77.68
2018-02-06 19:59:52,80.5
2018-02-06 20:59:57,79.71
2018-02-06 21:59:50,75.68
2018-02-06 22:59:49,73.07
2018-02-06 23:59:49,76.09
2018-02-07 00:59:49,76.62
2018-02-07 01:59:49,75.52
2018-02-07 02:59:54,71.72
2018-02-07 03:59:55,71.82
2018-02-07 04:59:56,71.52
2018-02-07 05:59:57,74.64
2018-02-07 06:59:49,77.71
2018-02-07 07:59:49,79.11
2018-02-07 08:59:52,78.04
2018-02-07 09:59:58,75.44
2018-02-07 10:59:54,78.19
2018-02-07 11:59:49,80.7
2018-02-07 12:59:49,79.86
2018-02-07 13:59:54,82.2
2018-02-07 14:59:49,82.2
2018-02-07 15:59:50,82.3
2018-02-07 16:59:49,85.2
2018-02-07 17:59:57,83.2
2018-02-07 18:59:49,83.8
2018-02-07 19:59:49,82.1
2018-02-07 20:59:49,82.6
2018-02-07 21:59:52,82.9
2018-02-07 23:59:58,85.7
2018-02-08 00:59:49,84.7
2018-02-08 01:59:49,81.8
2018-02-08 02:59:55,81.6
2018-02-08 03:59:49,84.3
2018-02-08 05:00:04,87.7
2018-02-08 05:59:49,87.9
2018-02-08 06:59:53,90.7
2018-02-08 07:59:49,88.1
2018-02-08 09:59:52,92.9
2018-02-08 10:59:52,89.1
2018-02-08 11:59:49,89.3
2018-02-08 12:59:49,88.4
2018-02-08 13:59:49,89.4
2018-02-08 14:59:49,89.1
2018-02-08 15:59:48,90.6
2018-02-08 16:59:49,90.7
2018-02-08 17:59:49,91.9
2018-02-08 18:59:57,92.6
2018-02-08 19:59:53,93
2018-02-08 20:59:49,93.3
2018-02-08 21:59:48,93.3
2018-02-08 22:59:53,93.1
2018-02-08 23:59:49,93.6
2018-02-09 00:59:49,93
2018-02-09 01:59:49,92.4
2018-02-09 02:59:56,92
2018-02-09 03:59:52,91.5
2018-02-09 04:59:49,85
2018-02-09 05:59:49,84.3
2018-02-09 06:59:49,83
2018-02-09 07:59:55,84.3
2018-02-09 08:59:49,83.9
2018-02-09 09:59:58,83.4
2018-02-09 10:59:56,81.5
2018-02-09 11:59:48,84.5
2018-02-09 12:59:50,83.3
2018-02-09 13:59:49,87.3
2018-02-09 14:59:56,90.4
2018-02-09 15:59:49,92.2
2018-02-09 16:59:54,87.6
2018-02-09 17:59:55,84.7
2018-02-09 18:59:49,88.5
2018-02-09 19:59:52,90.5
2018-02-09 20:59:48,92.7
2018-02-09 21:59:49,94.1
2018-02-09 22:59:49,93.8
2018-02-09 23:59:57,90.8
2018-02-10 00:59:51,91.2
2018-02-10 01:59:48,92.9
2018-02-10 02:59:49,92.7
2018-02-10 03:59:53,91
2018-02-10 04:59:49,89.1
2018-02-10 05:59:53,88.5
2018-02-10 06:59:49,85.3
2018-02-10 07:59:48,83.7
2018-02-10 08:59:49,84.4
2018-02-10 09:59:49,81.1
2018-02-10 10:59:55,79.66
2018-02-10 11:59:48,79.02
2018-02-10 12:59:48,77.61
2018-02-10 13:59:54,80.1
2018-02-10 14:59:48,80.7
2018-02-10 15:59:54,81.1
2018-02-10 16:59:48,80.9
2018-02-10 17:59:49,82.7
2018-02-10 18:59:49,82.2
2018-02-10 19:59:49,86.5
2018-02-10 20:59:48,87.1
