Real-time,Average Solar Radiation Upward (w/m2),Average Solar Radiation Downward (w/m2),Average Longwave Radiation Upward (w/m2),Average Longwave Radiation Downward (w/m2)
2/1/2018 0:59,10.90326,10.99489,219.1184,275.164
2/1/2018 1:59,44.85649,35.57111,253.1806,279.4085
2/1/2018 2:59,89.38793,73.67216,224.1223,276.8218
2/1/2018 3:59,178.0081,148.2156,249.3286,279.4354
2/1/2018 4:59,359.9062,303.9566,228.5189,279.7608
2/1/2018 6:59,451.3298,372.5815,256.4879,286.1213
2/1/2018 7:59,574.1321,484.8255,216.1752,287.4925
2/1/2018 8:59,661.2255,544.1626,210.4453,291.1489
2/1/2018 9:59,724.7762,597.998,212.9398,295.2824
2/1/2018 10:59,728.073,590.5472,212.4511,297.2572
2/1/2018 11:59,714.183,568.093,212.4917,299.4127
2/1/2018 12:59,681.8964,527.6951,212.8795,300.5381
2/1/2018 13:59,625.2138,468.807,213.1309,300.5329
2/1/2018 14:59,546.8914,396.0198,212.3393,298.8224
2/1/2018 15:59,450.7533,312.7182,214.5396,293.4695
2/1/2018 16:59,106.4673,85.85466,215.4217,283.4629
2/1/2018 17:59,57.41266,49.17938,214.9607,283.7838
2/1/2018 18:59,36.28686,31.48905,216.4473,287.9462
2/1/2018 19:59,14.39757,15.58238,213.8286,284.9586
2/1/2018 20:59,13.75616,10.25207,212.6605,280.5924
2/1/2018 21:59,-0.6321408,2.294176,218.6605,277.2782
2/1/2018 23:00,-1.453053,1.729384,208.8875,271.3264
2/1/2018 23:59,0.07379774,2.85283,208.2863,271.1364
2/2/2018 0:59,5.944616,7.339828,220.9668,274.8003
2/2/2018 1:59,29.42916,25.30387,233.5468,277.4352
2/2/2018 2:59,79.51206,64.43203,235.8255,277.5329
2/2/2018 3:59,86.78883,72.80149,217.8078,274.1786
2/2/2018 4:59,128.5949,115.9872,205.8431,274.0688
2/2/2018 5:59,295.5532,240.3821,240.1338,278.7596
2/2/2018 6:59,423.2255,348.0526,257.6728,282.4669
2/2/2018 7:59,456.9474,379.0606,264.1306,284.7484
2/2/2018 8:59,565.7327,470.9857,267.3242,290.1406
2/2/2018 9:59,667.7927,550.466,245.3633,294.9292
2/2/2018 10:59,751.205,612.5125,226.7374,298.7464
2/2/2018 11:59,758.9227,609.0502,229.9351,302.9629
2/2/2018 12:59,539.1931,431.0539,243.481,299.1476
2/2/2018 13:59,435.0585,339.685,232.8898,297.3978
2/2/2018 14:59,312.8346,258.6083,273.1691,297.0925
2/2/2018 15:59,246.7612,200.9009,266.5424,295.1571
2/2/2018 16:59,172.3315,132.0801,225.9369,288.6464
2/2/2018 17:59,112.5031,87.84633,233.2564,285.8554
2/2/2018 18:59,56.61292,45.79555,223.5516,281.0183
2/2/2018 19:59,20.41453,17.43699,236.5398,280.6148
2/2/2018 20:59,11.68359,8.478429,241.1632,283.3795
2/2/2018 21:59,0.2800449,1.492209,246.7792,280.9596
2/2/2018 22:59,0.2484297,1.056882,259.1017,281.4072
2/2/2018 23:59,1.580169,1.73091,273.7932,284.1891
2/3/2018 0:59,5.634276,5.416588,271.1401,286.7618
2/3/2018 1:59,34.48211,28.26225,255.5206,285.5678
2/3/2018 2:59,66.42268,54.51001,249.2683,284.5031
2/3/2018 3:59,108.1194,90.63853,234.8161,282.7287
2/3/2018 4:59,179.6806,148.3437,254.5503,284.7045
2/3/2018 5:59,266.8392,220.6167,269.096,286.428
2/3/2018 6:59,280.1907,235.0631,271.1302,287.2119
2/3/2018 7:59,332.8426,280.2574,272.0585,287.8614
2/3/2018 8:59,348.4362,291.0864,245.2353,288.3653
2/3/2018 9:59,532.9741,439.716,262.4457,293.5981
2/3/2018 10:59,545.8515,451.5484,269.0622,296.8445
2/3/2018 11:59,607.3637,487.1125,253.6409,299.9555
2/3/2018 12:59,696.0538,539.9984,223.2319,301.7505
2/3/2018 13:59,545.9907,437.8098,266.2472,304.4464
2/3/2018 14:59,362.4662,295.5409,273.1425,302.5154
2/3/2018 15:59,279.4682,225.4146,270.9735,300.9935
2/3/2018 16:59,170.2975,134.713,251.4253,296.4709
2/3/2018 17:59,232.1793,143.5438,216.4482,284.2731
2/3/2018 18:59,164.3974,97.56396,231.9288,286.8062
2/3/2018 19:59,33.75058,27.54629,253.2646,290.4073
2/3/2018 20:59,4.717985,4.86656,267.515,294.2619
