Real-time,RM Young Resultant Wind Direction (degrees)
2018-02-01 00:59:51,119.1
2018-02-01 01:59:50,119.4
2018-02-01 02:59:50,117.6
2018-02-01 03:59:59,121.1
2018-02-01 04:59:53,124.1
2018-02-01 06:59:50,120.5
2018-02-01 07:59:56,120.4
2018-02-01 08:59:50,123.1
2018-02-01 09:59:50,124.3
2018-02-01 10:59:54,122.8
2018-02-01 11:59:56,125.2
2018-02-01 12:59:50,121.2
2018-02-01 13:59:50,114.8
2018-02-01 14:59:50,113.5
2018-02-01 15:59:50,107.6
2018-02-01 16:59:50,111.8
2018-02-01 17:59:55,115
2018-02-01 18:59:50,108.7
2018-02-01 19:59:54,115.6
2018-02-01 20:59:50,117.7
2018-02-01 21:59:50,122.2
2018-02-01 23:00:08,120.8
2018-02-01 23:59:59,121
2018-02-02 00:59:50,118.1
2018-02-02 01:59:55,120.8
2018-02-02 02:59:50,119.7
2018-02-02 03:59:58,120.6
2018-02-02 04:59:56,117.8
2018-02-02 05:59:55,124.2
2018-02-02 06:59:50,126.3
2018-02-02 07:59:50,124.4
2018-02-02 08:59:57,120.8
2018-02-02 09:59:52,130.3
2018-02-02 10:59:50,130
2018-02-02 11:59:50,120.4
2018-02-02 12:59:58,122.4
2018-02-02 13:59:50,123
2018-02-02 14:59:57,117.4
2018-02-02 15:59:50,112.8
2018-02-02 16:59:50,117.6
2018-02-02 17:59:50,124.9
2018-02-02 18:59:50,122.3
2018-02-02 19:59:50,120.4
2018-02-02 20:59:59,105.8
2018-02-02 21:59:49,119
2018-02-02 22:59:50,112
2018-02-02 23:59:57,124.2
2018-02-03 00:59:57,121.6
2018-02-03 01:59:51,119.5
2018-02-03 02:59:50,119.8
2018-02-03 03:59:58,119.6
2018-02-03 04:59:49,119.1
2018-02-03 05:59:49,118.5
2018-02-03 06:59:50,116.7
2018-02-03 07:59:53,116.6
2018-02-03 08:59:50,118.6
2018-02-03 09:59:50,115
2018-02-03 10:59:57,119.3
2018-02-03 11:59:58,125.2
2018-02-03 12:59:49,116.1
2018-02-03 13:59:54,122.1
2018-02-03 14:59:50,125
