Real-time,RM Young Average Wind Speed (m/s),RM Young Resultant Wind Speed (m/s)
2/1/2018 0:59,8.95,8.94
2/1/2018 1:59,10.25,10.24
2/1/2018 2:59,10.44,10.42
2/1/2018 3:59,11.13,11.12
2/1/2018 4:59,12.61,12.6
2/1/2018 6:59,12.63,12.61
2/1/2018 7:59,12.19,12.17
2/1/2018 8:59,12.05,12.03
2/1/2018 9:59,11.89,11.88
2/1/2018 10:59,11.51,11.49
2/1/2018 11:59,10.24,10.22
2/1/2018 12:59,9.38,9.37
2/1/2018 13:59,8.33,8.31
2/1/2018 14:59,8.17,8.15
2/1/2018 15:59,9.4,9.39
2/1/2018 16:59,7.864,7.855
2/1/2018 17:59,7.947,7.94
2/1/2018 18:59,8.44,8.43
2/1/2018 19:59,8.59,8.58
2/1/2018 20:59,8.15,8.14
2/1/2018 21:59,7.595,7.588
2/1/2018 23:00,7.146,7.14
2/1/2018 23:59,8.57,8.56
2/2/2018 0:59,10.82,10.8
2/2/2018 1:59,12.36,12.34
2/2/2018 2:59,13.99,13.97
2/2/2018 3:59,16.58,16.56
2/2/2018 4:59,17.75,17.73
2/2/2018 5:59,16.92,16.89
2/2/2018 6:59,16.96,16.94
2/2/2018 7:59,15.33,15.31
2/2/2018 8:59,14.37,14.35
2/2/2018 9:59,12.47,12.46
2/2/2018 10:59,11.8,11.78
2/2/2018 11:59,10.45,10.42
2/2/2018 12:59,10.91,10.9
2/2/2018 13:59,10.36,10.33
2/2/2018 14:59,9.66,9.64
2/2/2018 15:59,10.2,10.17
2/2/2018 16:59,9.83,9.81
2/2/2018 17:59,8.56,8.55
2/2/2018 18:59,8.79,8.77
2/2/2018 19:59,9.75,9.73
2/2/2018 20:59,12.75,12.73
2/2/2018 21:59,10.68,10.66
2/2/2018 22:59,11.15,11.13
2/2/2018 23:59,11.82,11.79
2/3/2018 0:59,12.68,12.65
2/3/2018 1:59,13.69,13.67
2/3/2018 2:59,13.1,13.07
2/3/2018 3:59,14.4,14.38
2/3/2018 4:59,14.6,14.57
2/3/2018 5:59,14.6,14.57
2/3/2018 6:59,14.81,14.79
2/3/2018 7:59,15.16,15.13
2/3/2018 8:59,12.96,12.93
2/3/2018 9:59,11.09,11.06
2/3/2018 10:59,8.89,8.88
2/3/2018 11:59,7.859,7.837
2/3/2018 12:59,9.1,9.08
2/3/2018 13:59,7.649,7.635
2/3/2018 14:59,6.592,6.584
2/3/2018 15:59,5.584,5.577
