Real-time,RTD Average Upper Temperature (C)
2018-02-01 00:59:51,-6.578846
2018-02-01 01:59:50,-6.310143
2018-02-01 02:59:50,-6.779563
2018-02-01 03:59:59,-7.127418
2018-02-01 04:59:53,-7.468599
2018-02-01 06:59:50,-6.628163
2018-02-01 07:59:56,-6.109406
2018-02-01 08:59:50,-5.276411
2018-02-01 09:59:50,-4.652304
2018-02-01 10:59:54,-4.146358
2018-02-01 11:59:56,-3.721807
2018-02-01 12:59:50,-3.297405
2018-02-01 13:59:50,-3.011545
2018-02-01 14:59:50,-2.975008
2018-02-01 15:59:50,-4.208958
2018-02-01 16:59:50,-5.544272
2018-02-01 17:59:55,-4.651094
2018-02-01 18:59:50,-3.46387
2018-02-01 19:59:54,-4.307963
2018-02-01 20:59:50,-5.335926
2018-02-01 21:59:50,-6.306683
2018-02-01 23:00:08,-7.496425
2018-02-01 23:59:59,-7.658846
2018-02-02 00:59:50,-7.319228
2018-02-02 01:59:55,-7.165903
2018-02-02 02:59:50,-7.318254
2018-02-02 03:59:58,-7.679315
2018-02-02 04:59:56,-8.099654
2018-02-02 05:59:55,-7.589404
2018-02-02 06:59:50,-7.25107
2018-02-02 07:59:50,-6.8511
2018-02-02 08:59:57,-5.744027
2018-02-02 09:59:52,-4.795638
2018-02-02 10:59:50,-4.142006
2018-02-02 11:59:50,-3.200223
2018-02-02 12:59:58,-3.326292
2018-02-02 13:59:50,-3.340593
2018-02-02 14:59:57,-3.475858
2018-02-02 15:59:50,-3.649541
2018-02-02 16:59:50,-4.253472
2018-02-02 17:59:50,-4.955161
2018-02-02 18:59:50,-5.988924
2018-02-02 19:59:50,-6.177466
2018-02-02 20:59:59,-5.304471
2018-02-02 21:59:49,-6.349782
2018-02-02 22:59:50,-6.384425
2018-02-02 23:59:57,-6.099699
2018-02-03 00:59:57,-5.257432
2018-02-03 01:59:51,-5.702682
2018-02-03 02:59:50,-5.796242
2018-02-03 03:59:58,-6.294526
2018-02-03 04:59:49,-6.249509
2018-02-03 05:59:49,-6.428421
2018-02-03 06:59:50,-6.118768
2018-02-03 07:59:53,-6.088941
2018-02-03 08:59:50,-5.661759
2018-02-03 09:59:50,-4.655233
2018-02-03 10:59:57,-4.04643
2018-02-03 11:59:58,-3.682176
2018-02-03 12:59:49,-3.54231
2018-02-03 13:59:54,-2.668802
2018-02-03 14:59:50,-2.471778
2018-02-03 15:59:52,-2.424007
2018-02-03 16:59:55,-2.620613
2018-02-03 17:59:50,-4.692878
2018-02-03 18:59:50,-4.377756
2018-02-03 19:59:57,-3.651497
2018-02-03 20:59:49,-2.862512
2018-02-03 21:59:53,-2.756944
2018-02-03 22:59:50,-2.612962
2018-02-03 23:59:58,-2.347556
2018-02-04 00:59:51,-2.597202
2018-02-04 01:59:50,-2.863183
2018-02-04 03:59:50,-4.004922
2018-02-04 04:59:54,-3.239892
2018-02-04 05:59:58,-2.454623
2018-02-04 06:59:50,-2.016887
2018-02-04 07:59:49,-1.443963
2018-02-04 08:59:50,-1.289365
2018-02-04 09:59:50,-0.9050062
2018-02-04 10:59:54,-1.003056
2018-02-04 11:59:55,-0.917063
2018-02-04 12:59:49,-0.791742
2018-02-04 13:59:53,-0.5593261
2018-02-04 14:59:56,-1.091214
2018-02-04 15:59:58,-0.8243316
2018-02-04 16:59:49,-0.901341
2018-02-04 17:59:50,-0.8861354
2018-02-04 18:59:50,-0.9270743
2018-02-04 19:59:50,-0.7199226
2018-02-04 20:59:49,-0.5979222
2018-02-04 21:59:52,-0.6990938
2018-02-04 22:59:57,-1.035498
2018-02-04 23:59:58,-0.3387777
2018-02-05 00:59:50,-0.3577343
2018-02-05 01:59:49,-0.4478406
2018-02-05 02:59:50,-0.4584505
2018-02-05 03:59:58,-0.3409929
2018-02-05 05:00:04,-0.01659768
2018-02-05 05:59:49,0.04863383
2018-02-05 06:59:53,0.2855022
2018-02-05 07:59:50,0.4176868
2018-02-05 08:59:58,0.6916114
2018-02-05 09:59:52,0.5766362
2018-02-05 10:59:50,0.5240955
2018-02-05 11:59:49,0.4292748
2018-02-05 12:59:49,0.4436002
2018-02-05 13:59:53,0.4317891
2018-02-05 14:59:50,0.3319476
2018-02-05 15:59:49,0.1648303
2018-02-05 16:59:50,0.3222796
2018-02-05 17:59:49,-0.3999144
2018-02-05 18:59:58,-0.545917
2018-02-05 19:59:49,-0.1823801
2018-02-05 20:59:50,-0.168999
2018-02-05 21:59:49,-0.0658519
2018-02-05 22:59:53,-0.1197511
2018-02-05 23:59:57,-0.188858
2018-02-06 00:59:49,-0.3185415
2018-02-06 01:59:49,-0.5549393
2018-02-06 02:59:50,-0.6390714
2018-02-06 03:59:50,-0.6133002
2018-02-06 04:59:49,-0.88243
2018-02-06 05:59:49,-1.227907
2018-02-06 06:59:49,-1.937687
2018-02-06 07:59:53,-1.294647
2018-02-06 08:59:55,-1.103119
2018-02-06 09:59:56,-0.967745
2018-02-06 10:59:49,-0.404345
2018-02-06 11:59:55,-0.198826
2018-02-06 12:59:49,0.2248693
2018-02-06 13:59:54,-0.2793507
2018-02-06 14:59:50,-0.7895271
2018-02-06 15:59:50,-1.661189
2018-02-06 16:59:56,-2.95074
2018-02-06 17:59:49,-4.132889
2018-02-06 18:59:49,-4.659139
2018-02-06 19:59:52,-6.262607
2018-02-06 20:59:57,-6.689444
2018-02-06 21:59:50,-7.038294
2018-02-06 22:59:49,-6.668465
2018-02-06 23:59:49,-5.414789
2018-02-07 00:59:49,-4.481048
2018-02-07 01:59:49,-4.927441
2018-02-07 02:59:54,-5.120194
2018-02-07 03:59:55,-5.439307
2018-02-07 04:59:56,-5.310426
2018-02-07 05:59:57,-3.956087
2018-02-07 06:59:49,-3.741124
2018-02-07 07:59:49,-3.030642
2018-02-07 08:59:52,-1.920902
2018-02-07 09:59:58,-0.8662828
2018-02-07 10:59:54,-0.962759
2018-02-07 11:59:49,-0.9255422
2018-02-07 12:59:49,-0.3529855
2018-02-07 13:59:54,0.1972599
2018-02-07 14:59:49,0.0798643
2018-02-07 15:59:50,-0.4394459
2018-02-07 16:59:49,-1.309884
2018-02-07 17:59:57,-2.333389
2018-02-07 18:59:49,-3.464104
2018-02-07 19:59:49,-3.607621
2018-02-07 20:59:49,-4.569175
2018-02-07 21:59:52,-5.227874
2018-02-07 23:59:58,-5.362704
2018-02-08 00:59:49,-3.957323
2018-02-08 01:59:49,-3.264435
2018-02-08 02:59:55,-3.799386
2018-02-08 03:59:49,-3.347006
2018-02-08 05:00:04,-3.453454
2018-02-08 05:59:49,-2.920696
2018-02-08 06:59:53,-2.31938
2018-02-08 07:59:49,-0.5500414
2018-02-08 09:59:52,-1.049358
2018-02-08 10:59:52,-0.7475697
2018-02-08 11:59:49,-0.6296547
2018-02-08 12:59:49,-0.4322932
2018-02-08 13:59:49,-0.6054604
2018-02-08 14:59:49,-0.5806673
2018-02-08 15:59:48,-0.4130266
2018-02-08 16:59:49,-0.4748948
2018-02-08 17:59:49,-0.7203457
2018-02-08 18:59:57,-0.9013833
2018-02-08 19:59:53,-1.640424
2018-02-08 20:59:49,-1.798312
2018-02-08 21:59:48,-1.401798
2018-02-08 22:59:53,-1.382289
2018-02-08 23:59:49,-1.551103
2018-02-09 00:59:49,-1.731872
2018-02-09 01:59:49,-1.931837
2018-02-09 02:59:56,-1.622517
2018-02-09 03:59:52,-1.385521
2018-02-09 04:59:49,-2.279492
2018-02-09 05:59:49,-3.033195
2018-02-09 06:59:49,-2.616788
2018-02-09 07:59:55,-2.270709
2018-02-09 08:59:49,-1.982165
2018-02-09 09:59:58,-1.601173
2018-02-09 10:59:56,-0.4822616
2018-02-09 11:59:48,-0.08276709
2018-02-09 12:59:50,0.1620223
2018-02-09 13:59:49,0.1411379
2018-02-09 14:59:56,0.4734716
2018-02-09 15:59:49,-0.6717859
2018-02-09 16:59:54,-0.8834647
2018-02-09 17:59:55,-1.058115
2018-02-09 18:59:49,-1.307243
2018-02-09 19:59:52,-1.380893
2018-02-09 20:59:48,-1.437713
2018-02-09 21:59:49,-1.78233
2018-02-09 22:59:49,-1.584247
2018-02-09 23:59:57,-1.716448
2018-02-10 00:59:51,-2.049842
2018-02-10 01:59:48,-3.097474
2018-02-10 02:59:49,-2.607919
2018-02-10 03:59:53,-4.180342
2018-02-10 04:59:49,-4.590002
2018-02-10 05:59:53,-4.85862
2018-02-10 06:59:49,-4.936897
2018-02-10 07:59:48,-4.933878
2018-02-10 08:59:49,-4.976049
2018-02-10 09:59:49,-4.65358
2018-02-10 10:59:55,-4.393668
2018-02-10 11:59:48,-4.327768
2018-02-10 12:59:48,-3.89994
2018-02-10 13:59:54,-3.846811
2018-02-10 14:59:48,-3.564356
2018-02-10 15:59:54,-3.37487
2018-02-10 16:59:48,-3.763423
2018-02-10 17:59:49,-3.732555
2018-02-10 18:59:49,-3.908276
2018-02-10 19:59:49,-4.161855
2018-02-10 20:59:48,-4.568276
2018-02-10 21:59:49,-4.67201
2018-02-10 22:59:48,-4.221779
2018-02-10 23:59:57,-4.261861
2018-02-11 00:59:48,-4.798281
2018-02-11 01:59:53,-5.295
2018-02-11 02:59:49,-5.169547
2018-02-11 03:59:54,-4.815763
2018-02-11 04:59:56,-4.564368
2018-02-11 05:59:49,-4.588606
2018-02-11 06:59:53,-5.34917
2018-02-11 07:59:55,-5.652139
2018-02-11 08:59:57,-4.937536
2018-02-11 09:59:48,-5.485908
2018-02-11 10:59:49,-5.48865
2018-02-11 11:59:48,-6.104112
2018-02-11 12:59:49,-5.861668
2018-02-11 13:59:49,-5.569478
2018-02-11 14:59:49,-5.443025
