Real-time,RTD Average Upper Temperature (C)
2018-02-01 00:00:57,-7.383912
2018-02-01 01:00:56,-7.532121
2018-02-01 02:01:03,-8.090422
2018-02-01 03:01:00,-8.311422
2018-02-01 04:00:56,-8.791103
2018-02-01 05:00:57,-9.579657
2018-02-01 06:00:59,-9.45387
2018-02-01 07:01:00,-8.738848
2018-02-01 08:01:01,-7.749132
2018-02-01 09:00:56,-6.768066
2018-02-01 10:01:02,-6.215549
2018-02-01 11:00:57,-5.68308
2018-02-01 12:01:05,-5.184218
2018-02-01 13:00:56,-4.794167
2018-02-01 14:00:56,-4.554406
2018-02-01 15:00:57,-4.982551
2018-02-01 16:00:57,-6.123598
2018-02-01 18:00:58,-4.377824
2018-02-01 19:01:05,-4.650622
2018-02-01 20:00:57,-5.161296
2018-02-01 21:00:56,-5.632104
2018-02-01 22:00:57,-6.297961
2018-02-01 23:00:57,-8.035981
2018-02-02 00:01:05,-8.406314
2018-02-02 01:00:56,-7.714414
2018-02-02 02:01:04,-8.757074
2018-02-02 03:00:57,-8.510889
2018-02-02 04:00:59,-9.209881
2018-02-02 05:01:05,-9.503521
2018-02-02 06:00:57,-9.237835
2018-02-02 07:01:01,-9.010798
2018-02-02 08:00:57,-8.196603
2018-02-02 09:01:05,-7.157167
2018-02-02 10:00:56,-5.936655
2018-02-02 11:01:04,-5.362182
2018-02-02 12:01:04,-4.947596
2018-02-02 13:00:56,-4.680159
2018-02-02 14:00:57,-4.86335
2018-02-02 15:00:57,-5.074162
2018-02-02 16:00:57,-5.401838
2018-02-02 17:00:56,-6.124878
2018-02-02 18:00:57,-6.318904
2018-02-02 19:00:57,-7.05619
2018-02-02 20:00:57,-7.28457
2018-02-02 21:00:57,-7.706889
2018-02-02 22:00:56,-8.369772
2018-02-02 23:00:57,-8.28395
2018-02-03 00:00:57,-7.394172
2018-02-03 01:01:02,-7.056601
2018-02-03 02:00:56,-7.247934
2018-02-03 03:00:56,-7.414338
2018-02-03 04:00:58,-7.49949
2018-02-03 05:00:56,-8.002919
2018-02-03 06:00:57,-7.80927
2018-02-03 07:01:01,-7.535629
2018-02-03 08:00:57,-6.968566
2018-02-03 09:00:59,-6.400099
2018-02-03 10:00:58,-5.87342
2018-02-03 11:01:05,-5.597184
2018-02-03 12:00:56,-5.042575
2018-02-03 13:00:56,-4.674536
2018-02-03 14:01:05,-4.213699
2018-02-03 15:01:04,-4.051462
2018-02-03 16:01:02,-4.051719
2018-02-03 17:00:56,-5.145772
2018-02-03 18:00:57,-5.267259
2018-02-03 19:00:57,-5.664653
2018-02-03 20:01:03,-4.970392
2018-02-03 21:01:04,-4.394361
2018-02-03 22:01:11,-5.051112
2018-02-03 23:00:57,-4.000361
2018-02-04 00:00:57,-3.697854
2018-02-04 01:00:56,-3.869037
2018-02-04 02:00:56,-4.143854
2018-02-04 03:00:57,-4.88011
2018-02-04 04:00:59,-5.128304
2018-02-04 05:00:57,-4.201438
2018-02-04 06:00:57,-3.749904
2018-02-04 07:00:57,-3.479539
2018-02-04 08:00:56,-3.192973
2018-02-04 09:00:58,-2.86876
2018-02-04 10:01:02,-2.550167
2018-02-04 11:01:04,-2.668929
2018-02-04 12:01:05,-2.325241
2018-02-04 13:00:56,-2.382817
2018-02-04 14:00:56,-2.105834
2018-02-04 15:00:57,-2.247956
2018-02-04 16:01:01,-2.424464
2018-02-04 17:00:56,-2.346373
2018-02-04 18:00:59,-2.397349
2018-02-04 19:01:04,-2.265162
2018-02-04 20:01:05,-2.163333
2018-02-04 21:00:56,-2.051406
2018-02-04 22:00:57,-2.22674
2018-02-04 23:00:57,-2.114834
2018-02-05 00:01:05,-1.822512
2018-02-05 01:00:57,-1.710787
2018-02-05 02:00:56,-1.931821
2018-02-05 03:00:57,-2.010835
2018-02-05 04:01:00,-1.855075
2018-02-05 05:00:56,-1.689833
2018-02-05 06:01:04,-1.63932
2018-02-05 07:00:58,-1.551502
2018-02-05 08:00:57,-1.383034
2018-02-05 09:01:05,-1.24641
2018-02-05 10:00:57,-1.344977
2018-02-05 11:00:56,-1.356203
2018-02-05 12:00:56,-1.369485
2018-02-05 13:00:56,-1.339365
2018-02-05 14:01:01,-1.294922
2018-02-05 15:01:05,-1.478179
2018-02-05 16:00:56,-1.233512
2018-02-05 17:00:57,-1.414156
2018-02-05 18:00:57,-1.818318
2018-02-05 19:00:58,-1.827223
2018-02-05 20:00:57,-1.613527
2018-02-05 21:00:57,-1.700976
2018-02-05 22:00:57,-1.680281
2018-02-05 23:01:02,-1.649089
2018-02-06 00:00:57,-1.762053
2018-02-06 01:01:03,-1.875937
2018-02-06 02:00:57,-2.120738
2018-02-06 03:00:56,-2.208783
2018-02-06 04:00:58,-2.34919
2018-02-06 05:00:56,-2.558762
2018-02-06 06:01:04,-3.221539
2018-02-06 07:00:56,-3.662572
2018-02-06 08:00:57,-3.723772
2018-02-06 09:01:02,-3.117151
2018-02-06 10:00:57,-3.028192
2018-02-06 11:01:05,-2.578946
2018-02-06 12:00:56,-2.548704
2018-02-06 13:00:56,-2.408736
2018-02-06 14:01:05,-2.587489
2018-02-06 15:00:57,-2.717979
2018-02-06 16:00:56,-3.216844
2018-02-06 17:00:57,-3.915254
2018-02-06 18:01:04,-5.061232
2018-02-06 19:00:57,-6.392457
2018-02-06 20:01:02,-7.388391
2018-02-06 21:01:03,-8.405446
2018-02-06 22:01:07,-8.507682
2018-02-06 23:00:57,-8.483149
2018-02-07 00:00:57,-7.635824
2018-02-07 01:00:56,-6.434958
2018-02-07 02:00:56,-6.429009
2018-02-07 03:00:57,-6.606998
2018-02-07 04:01:03,-6.785781
2018-02-07 05:00:56,-5.806701
2018-02-07 06:01:05,-5.326329
2018-02-07 07:00:57,-5.256317
2018-02-07 08:01:01,-4.790689
2018-02-07 09:00:56,-3.595215
2018-02-07 10:01:02,-2.823518
2018-02-07 11:00:56,-2.729828
2018-02-07 12:01:05,-1.993223
2018-02-07 13:00:56,-1.747048
2018-02-07 14:00:56,-1.725068
2018-02-07 15:00:57,-1.585968
2018-02-07 16:01:01,-1.968677
2018-02-07 17:01:12,-2.449998
2018-02-07 18:00:56,-2.543007
2018-02-07 19:01:05,-3.527851
