Real-time,RM Young Average Wind Speed (m/s)
2018-02-01 00:59:51,8.95
2018-02-01 01:59:50,10.25
2018-02-01 02:59:50,10.44
2018-02-01 03:59:59,11.13
2018-02-01 04:59:53,12.61
2018-02-01 06:59:50,12.63
2018-02-01 07:59:56,12.19
2018-02-01 08:59:50,12.05
2018-02-01 09:59:50,11.89
2018-02-01 10:59:54,11.51
2018-02-01 11:59:56,10.24
2018-02-01 12:59:50,9.38
2018-02-01 13:59:50,8.33
2018-02-01 14:59:50,8.17
2018-02-01 15:59:50,9.4
2018-02-01 16:59:50,7.864
2018-02-01 17:59:55,7.947
2018-02-01 18:59:50,8.44
2018-02-01 19:59:54,8.59
2018-02-01 20:59:50,8.15
2018-02-01 21:59:50,7.595
2018-02-01 23:00:08,7.146
2018-02-01 23:59:59,8.57
2018-02-02 00:59:50,10.82
2018-02-02 01:59:55,12.36
2018-02-02 02:59:50,13.99
2018-02-02 03:59:58,16.58
2018-02-02 04:59:56,17.75
2018-02-02 05:59:55,16.92
2018-02-02 06:59:50,16.96
2018-02-02 07:59:50,15.33
2018-02-02 08:59:57,14.37
2018-02-02 09:59:52,12.47
2018-02-02 10:59:50,11.8
2018-02-02 11:59:50,10.45
2018-02-02 12:59:58,10.91
2018-02-02 13:59:50,10.36
2018-02-02 14:59:57,9.66
2018-02-02 15:59:50,10.2
2018-02-02 16:59:50,9.83
2018-02-02 17:59:50,8.56
2018-02-02 18:59:50,8.79
2018-02-02 19:59:50,9.75
2018-02-02 20:59:59,12.75
2018-02-02 21:59:49,10.68
2018-02-02 22:59:50,11.15
2018-02-02 23:59:57,11.82
2018-02-03 00:59:57,12.68
2018-02-03 01:59:51,13.69
2018-02-03 02:59:50,13.1
2018-02-03 03:59:58,14.4
2018-02-03 04:59:49,14.6
2018-02-03 05:59:49,14.6
2018-02-03 06:59:50,14.81
2018-02-03 07:59:53,15.16
2018-02-03 08:59:50,12.96
2018-02-03 09:59:50,11.09
2018-02-03 10:59:57,8.89
2018-02-03 11:59:58,7.859
2018-02-03 12:59:49,9.1
2018-02-03 13:59:54,7.649
2018-02-03 14:59:50,6.592
2018-02-03 15:59:52,5.584
2018-02-03 16:59:55,4.439
2018-02-03 17:59:50,5.434
2018-02-03 18:59:50,9.41
2018-02-03 19:59:57,7.077
2018-02-03 20:59:49,8.25
2018-02-03 21:59:53,10.57
2018-02-03 22:59:50,11.91
2018-02-03 23:59:58,12.34
2018-02-04 00:59:51,13.29
2018-02-04 01:59:50,13.05
2018-02-04 03:59:50,12.28
2018-02-04 04:59:54,15.45
2018-02-04 05:59:58,15.74
2018-02-04 06:59:50,14.36
2018-02-04 07:59:49,16.95
2018-02-04 08:59:50,18.28
2018-02-04 09:59:50,17.76
2018-02-04 10:59:54,16.45
2018-02-04 11:59:55,16.18
2018-02-04 12:59:49,16.49
2018-02-04 13:59:53,15.14
2018-02-04 14:59:56,12.9
2018-02-04 15:59:58,12.65
2018-02-04 16:59:49,13.23
2018-02-04 17:59:50,14.5
2018-02-04 18:59:50,11.5
2018-02-04 19:59:50,13.13
2018-02-04 20:59:49,14.35
2018-02-04 21:59:52,15.25
2018-02-04 22:59:57,12.11
2018-02-04 23:59:58,14.13
2018-02-05 00:59:50,14.43
2018-02-05 01:59:49,16.52
2018-02-05 02:59:50,16.48
2018-02-05 03:59:58,15.4
2018-02-05 05:00:04,16.03
2018-02-05 05:59:49,15.47
2018-02-05 06:59:53,14.62
2018-02-05 07:59:50,16.74
2018-02-05 08:59:58,16.22
2018-02-05 09:59:52,17.05
2018-02-05 10:59:50,16.77
2018-02-05 11:59:49,15.51
2018-02-05 12:59:49,15.03
2018-02-05 13:59:53,13.83
2018-02-05 14:59:50,12.64
2018-02-05 15:59:49,11.35
2018-02-05 16:59:50,13.05
2018-02-05 17:59:49,17.11
2018-02-05 18:59:58,13.59
2018-02-05 19:59:49,13.6
2018-02-05 20:59:50,12.05
2018-02-05 21:59:49,12.22
2018-02-05 22:59:53,13.47
2018-02-05 23:59:57,13.09
2018-02-06 00:59:49,12.97
2018-02-06 01:59:49,12.95
2018-02-06 02:59:50,13.68
2018-02-06 03:59:50,13.32
2018-02-06 04:59:49,11.67
2018-02-06 05:59:49,11.2
2018-02-06 06:59:49,11.3
2018-02-06 07:59:53,11.58
2018-02-06 08:59:55,10.72
2018-02-06 09:59:56,10.69
2018-02-06 10:59:49,10.34
2018-02-06 11:59:55,10.53
2018-02-06 12:59:49,10.09
2018-02-06 13:59:54,8.28
2018-02-06 14:59:50,7.453
