Real-time, Relative Humidity Station 1, Relative Humidity Station 2
2017-12-10 19:00,82.6,88.5
2017-12-10 20:00,83.6,86.8
2017-12-10 21:00,85.3,86.3
2017-12-10 22:00, ,
2017-12-10 23:00,0,89.2
2017-12-11 00:00,84.8,90.6
2017-12-11 01:00,85.5,91.5
2017-12-11 02:00,87.2,91.4
2017-12-11 03:00,84.8,90.8
2017-12-11 04:00,81.5,86.5
2017-12-11 05:00,75.14,83.3
2017-12-11 06:00,79.1,85.1
2017-12-11 07:00,79.05,84.1
2017-12-11 08:00,80.4,85
2017-12-11 09:00,79.96,83.7
2017-12-11 10:00,77.14,80.6
2017-12-11 11:00, ,
2017-12-11 12:00,79.75,83.4
2017-12-11 13:00,79.69,83.6
2017-12-11 14:00,77.49,84.2
2017-12-11 15:00,79.5,84.7
2017-12-11 16:00,0,81.5
2017-12-11 17:00,77.69,86.3
2017-12-11 18:00,76,80.8
2017-12-11 19:00,73.01,79.45
2017-12-11 20:00,70.82,76.09
2017-12-11 21:00,73.94,76.77
2017-12-11 22:00,72.81,79.3
2017-12-11 23:00,68.95,71.95
2017-12-12 00:00,72.87,75.42
2017-12-12 01:00,77.41,81.9
2017-12-12 02:00,78.1,82.4
2017-12-12 03:00, ,75.78
2017-12-12 04:00,69.55,70.24
2017-12-12 05:00,69.06,69.11
2017-12-12 06:00, ,
2017-12-12 07:00,68.8,68.72
2017-12-12 08:00,65.12,69.41
2017-12-12 09:00,62.94,72.43
2017-12-12 10:00,63.59,
2017-12-12 11:00,62.58,64.48
2017-12-12 12:00,61.93,65.33
2017-12-12 13:00,63.06,67.16
2017-12-12 14:00,65.07,68.31
2017-12-12 15:00,65.61,70.66
2017-12-12 16:00,70.33,69.86
2017-12-12 17:00,81,
2017-12-12 18:00,82.1,67.65
2017-12-12 19:00,74.08,75.57
2017-12-12 20:00,75.65,61.64
2017-12-12 21:00,63.04,71.28
2017-12-12 22:00,80.7,81.6
2017-12-12 23:00,76.34,78.38
2017-12-13 00:00,73.44,75.49
2017-12-13 01:00,69.76,72.92
2017-12-13 02:00,66.64,
2017-12-13 03:00,68.99,72.77
2017-12-13 04:00,67.69,71.18
2017-12-13 05:00, ,71.61
2017-12-13 06:00,69.5,72.34
2017-12-13 07:00,71.05,75.31
2017-12-13 08:00,71.02,74.6
2017-12-13 09:00,70.51,71.15
2017-12-13 10:00,67.5,70.61
2017-12-13 11:00,70.63,74.12
2017-12-13 12:00,71.24,74.83
2017-12-13 13:00,71.78,79.88
2017-12-13 14:00,73.17,78.46
2017-12-13 15:00,71.92,72.29
2017-12-13 16:00,72.45,75.66
2017-12-13 17:00,69.83,76.4
2017-12-13 18:00,72.46,75.77
2017-12-13 19:00,69.21,76.44
2017-12-13 20:00,75.65,77.74
2017-12-13 21:00,78.2,81.7
2017-12-13 22:00, ,
2017-12-13 23:00,68.74,67.9
2017-12-14 00:00,59.21,60.15
2017-12-14 01:00,61.82,59.79
2017-12-14 02:00, ,56.31
2017-12-14 03:00,58.61,55.49
2017-12-14 04:00,58.89,57.3
2017-12-14 05:00,61.28,62.48
2017-12-14 06:00,65.31,71.17
2017-12-14 07:00,70.47,73.5
2017-12-14 08:00,69.8,74.78
2017-12-14 09:00,67.09,71.28
2017-12-14 10:00,65.65,69.18
2017-12-14 11:00,63.99,67.24
2017-12-14 12:00,64.99,64.39
2017-12-14 13:00,65.73,67.48
2017-12-14 14:00,69.06,71.3
2017-12-14 15:00,70.11,74.18
2017-12-14 16:00,66.36,79.65
2017-12-14 17:00,69.73,72.02
2017-12-14 18:00,76.5,75.71
2017-12-14 19:00,75.51,79.13
2017-12-14 20:00,75.35,82.5
2017-12-14 21:00,70.71,71.2
2017-12-14 22:00,69.86,70.6
2017-12-14 23:00,64.95,70.37
2017-12-15 00:00,63.27,63.93
2017-12-15 01:00,59.17,62.52
2017-12-15 02:00,56.67,60.25
2017-12-15 03:00, ,61.49
2017-12-15 04:00,64.06,66.67
2017-12-15 05:00,64.75,70.3
2017-12-15 06:00,69.21,72.92
2017-12-15 07:00,70.9,74.48
2017-12-15 08:00,71.05,73.92
2017-12-15 09:00,69.89,71.36
2017-12-15 10:00,69.37,70.8
2017-12-15 11:00,69.84,65.98
2017-12-15 12:00,65.84,65.1
2017-12-15 13:00,63.86,63.81
2017-12-15 14:00,64.96,64.85
2017-12-15 15:00,66.36,72.45
2017-12-15 16:00,71.47,72.1
2017-12-15 17:00,66.92,68.97
2017-12-15 18:00,66.64,66.69
2017-12-15 19:00,73.49,68.01
2017-12-15 20:00,76.98,76.26
2017-12-15 21:00,75.96,68.81
2017-12-15 22:00,68.51,66.86
2017-12-15 23:00,60.7,59.89
2017-12-16 00:00,64.59,64.66
2017-12-16 01:00,63.25,64.51
2017-12-16 02:00,63.5,67.08
2017-12-16 03:00,63.49,67.5
2017-12-16 04:00,64.27,71.3
2017-12-16 05:00,66.02,73.62
2017-12-16 06:00,67.32,73.51
2017-12-16 07:00,69.58,75.4
2017-12-16 08:00,70.01,77.81
2017-12-16 09:00,69.61,77.93
2017-12-16 10:00,68.64,75.69
2017-12-16 11:00,67.3,76.69
2017-12-16 12:00,65.6,75.06
2017-12-16 13:00,65.91,73.24
2017-12-16 14:00,67.63,75.25
2017-12-16 15:00,68.42,79.34
2017-12-16 16:00,69.74,71.01
2017-12-16 17:00,67.53,72.55
2017-12-16 18:00,65.63,71.16
2017-12-16 19:00,60.62,67.83
2017-12-16 20:00,64.52,71.67
2017-12-16 21:00,63.02,69.99
2017-12-16 22:00,63.47,71.22
2017-12-16 23:00,67.39,72.94
2017-12-17 00:00,69.41,74.46
2017-12-17 01:00,72.97,75.28
2017-12-17 02:00, ,76
2017-12-17 03:00,75.28,74.23
2017-12-17 04:00,75.85,74.57
2017-12-17 05:00,77.26,74.63
2017-12-17 06:00,76.95,76.14
2017-12-17 07:00,75.22,76.34
