Real-time, Long Wavelength Radiation Down Station 1, Long Wavelength Radiation Down Station 2
2017-12-10 19:00,NAN,291.5231
2017-12-10 20:00,NAN,289.9273
2017-12-10 21:00,NAN,288.272
2017-12-10 22:00, ,
2017-12-10 23:00,0,284.7427
2017-12-11 00:00,NAN,283.374
2017-12-11 01:00,NAN,283.1138
2017-12-11 02:00,NAN,282.6035
2017-12-11 03:00,NAN,283.075
2017-12-11 04:00,NAN,285.6018
2017-12-11 05:00,NAN,285.4605
2017-12-11 06:00,NAN,286.0902
2017-12-11 07:00,NAN,288.3169
2017-12-11 08:00,NAN,288.6768
2017-12-11 09:00,NAN,290.3719
2017-12-11 10:00,NAN,294.1487
2017-12-11 11:00, ,
2017-12-11 12:00,NAN,300.0114
2017-12-11 13:00,NAN,299.3236
2017-12-11 14:00,NAN,297.335
2017-12-11 15:00,NAN,296.3544
2017-12-11 16:00,0,294.3177
2017-12-11 17:00,296.2568,293.6029
2017-12-11 18:00,294.5094,291.4039
2017-12-11 19:00,292.385,288.608
2017-12-11 20:00,289.8292,283.224
2017-12-11 21:00,289.1183,274.4784
2017-12-11 22:00,285.3166,269.2228
2017-12-11 23:00,284.1562,271.1049
2017-12-12 00:00,281.8586,274.4326
2017-12-12 01:00,281.252,274.8272
2017-12-12 02:00,280.8918,273.8749
2017-12-12 03:00, ,271.0505
2017-12-12 04:00,275.8667,271.7771
2017-12-12 05:00,276.9153,276.1778
2017-12-12 06:00, ,
2017-12-12 07:00,285.756,282.473
2017-12-12 08:00,289.2657,289.8081
2017-12-12 09:00,294.3034,284.0413
2017-12-12 10:00,297.0605,
2017-12-12 11:00,296.792,294.7537
2017-12-12 12:00,299.5436,296.0348
2017-12-12 13:00,299.1221,297.3196
2017-12-12 14:00,298.4813,295.9697
2017-12-12 15:00,296.0078,293.5875
2017-12-12 16:00,290.7729,290.624
2017-12-12 17:00,286.9734,
2017-12-12 18:00,282.0898,277.8643
2017-12-12 19:00,281.6803,276.6589
2017-12-12 20:00,271.8651,268.9889
2017-12-12 21:00,263.4526,260.7465
2017-12-12 22:00,256.2981,258.4057
2017-12-12 23:00,257.3509,254.4583
2017-12-13 00:00,257.6979,253.3937
2017-12-13 01:00,257.195,253.496
2017-12-13 02:00,260.6511,
2017-12-13 03:00,261.8407,256.4469
2017-12-13 04:00,265.038,261.6289
2017-12-13 05:00, ,265.8222
2017-12-13 06:00,273.7159,271.8543
2017-12-13 07:00,278.6991,271.6438
2017-12-13 08:00,282.8444,277.2028
2017-12-13 09:00,285.4609,284.133
2017-12-13 10:00,289.5781,287.8311
2017-12-13 11:00,295.54,285.4228
2017-12-13 12:00,295.919,290.0214
2017-12-13 13:00,298.5273,292.3131
2017-12-13 14:00,301.6945,293.4964
2017-12-13 15:00,297.1984,291.4775
2017-12-13 16:00,297.489,290.3848
2017-12-13 17:00,295.9144,289.4199
2017-12-13 18:00,295.2411,286.1725
2017-12-13 19:00,297.1177,285.0267
2017-12-13 20:00,281.4535,275.9981
2017-12-13 21:00,271.3466,265.0183
2017-12-13 22:00, ,
2017-12-13 23:00,260.0849,256.4211
2017-12-14 00:00,258.8358,255.519
2017-12-14 01:00,256.766,254.6886
2017-12-14 02:00, ,256.0939
2017-12-14 03:00,261.0298,259.1993
2017-12-14 04:00,265.1756,262.8117
2017-12-14 05:00,269.0015,266.7115
2017-12-14 06:00,274.4333,270.9584
2017-12-14 07:00,278.9244,275.5659
2017-12-14 08:00,283.7892,281.8292
2017-12-14 09:00,288.8407,287.7352
2017-12-14 10:00,292.7631,289.9643
2017-12-14 11:00,295.4951,292.0884
2017-12-14 12:00,297.0678,293.101
2017-12-14 13:00,298.1587,294.725
2017-12-14 14:00,298.2044,294.601
2017-12-14 15:00,295.5631,290.8669
2017-12-14 16:00,289.7659,284.9832
2017-12-14 17:00,284.9327,279.8707
2017-12-14 18:00,278.4886,274.9075
2017-12-14 19:00,271.8951,268.2901
2017-12-14 20:00,265.7586,262.4724
2017-12-14 21:00,262.6997,259.6587
2017-12-14 22:00,257.9967,255.6511
2017-12-14 23:00,257.9242,252.398
2017-12-15 00:00,255.2459,252.9785
2017-12-15 01:00,258.3782,253.2451
2017-12-15 02:00,259.1794,254.8959
2017-12-15 03:00, ,257.6321
2017-12-15 04:00,262.1749,258.5679
2017-12-15 05:00,266.3623,262.3853
2017-12-15 06:00,271.6454,267.6267
2017-12-15 07:00,276.7226,273.0843
2017-12-15 08:00,281.7662,278.2858
2017-12-15 09:00,286.1256,282.0919
2017-12-15 10:00,290.2773,286.3105
2017-12-15 11:00,293.1509,288.8637
2017-12-15 12:00,295.8649,290.6696
2017-12-15 13:00,295.9362,291.2567
2017-12-15 14:00,294.7894,289.9651
2017-12-15 15:00,292.3946,286.9588
2017-12-15 16:00,289.0331,282.8231
2017-12-15 17:00,283.545,277.7404
2017-12-15 18:00,279.0787,272.6391
2017-12-15 19:00,272.9026,267.9265
2017-12-15 20:00,265.5544,264.8883
2017-12-15 21:00,259.1419,261.3485
2017-12-15 22:00,257.3099,256.9074
2017-12-15 23:00,254.6206,256.9356
2017-12-16 00:00,253.0741,255.0394
2017-12-16 01:00,253.9973,256.2999
2017-12-16 02:00,255.9819,258.8034
2017-12-16 03:00,260.372,262.4906
2017-12-16 04:00,267.5687,264.8023
2017-12-16 05:00,271.8964,268.6006
2017-12-16 06:00,277.0312,273.4555
2017-12-16 07:00,282.717,278.8781
2017-12-16 08:00,288.6037,284.4132
2017-12-16 09:00,293.6191,288.7932
2017-12-16 10:00,297.8208,293.6201
2017-12-16 11:00,301.8759,296.3543
2017-12-16 12:00,303.8751,298.8504
2017-12-16 13:00,305.4529,299.7657
2017-12-16 14:00,305.013,299.5
2017-12-16 15:00,304.0461,297.472
2017-12-16 16:00,301.205,294.1914
2017-12-16 17:00,294.7783,291.2326
2017-12-16 18:00,289.1743,286.8858
2017-12-16 19:00,283.3324,282.9251
2017-12-16 20:00,273.7004,277.9756
2017-12-16 21:00,270.6674,275.0009
2017-12-16 22:00,268.8934,269.1301
2017-12-16 23:00,267.5341,267.6288
2017-12-17 00:00,269.4515,266.3902
2017-12-17 01:00,270.1339,268.2381
2017-12-17 02:00, ,268.1176
2017-12-17 03:00,278.8767,272.5816
2017-12-17 04:00,281.6292,275.7406
2017-12-17 05:00,285.0087,281.2699
2017-12-17 06:00,288.2528,284.3497
2017-12-17 07:00,291.7141,288.3144
2017-12-17 08:00,303.3945,292.2721
2017-12-17 09:00,306.153,296.0205
2017-12-17 10:00,305.8697,299.2452
2017-12-17 11:00,307.2228,302.1619
2017-12-17 12:00,309.7327,304.3262
2017-12-17 13:00,310.4257,305.261
2017-12-17 14:00,309.9516,304.437
2017-12-17 15:00,307.508,302.336
2017-12-17 16:00,304.3496,299.4544
2017-12-17 17:00,300.8587,295.9581
2017-12-17 18:00,296.949,291.9981
2017-12-17 19:00,293.9096,288.7365
2017-12-17 20:00,291.0272,285.4414
2017-12-17 21:00,288.1029,283.1459
2017-12-17 22:00,286.203,281.1222
2017-12-17 23:00,283.8112,278.633
2017-12-18 00:00,281.0396,277.2652
2017-12-18 01:00,279.9121,276.53
2017-12-18 02:00,281.2651,277.6696
2017-12-18 03:00,282.9937,
2017-12-18 04:00,285.4139,281.4069
2017-12-18 05:00,288.9438,285.0134
2017-12-18 06:00,292.7521,289.1227
2017-12-18 07:00,297.1352,293.3657
2017-12-18 08:00,301.6063,298.1278
2017-12-18 09:00,305.7112,
2017-12-18 10:00,308.5912,
2017-12-18 11:00, ,307.4402
2017-12-18 12:00,312.6831,307.9851
2017-12-18 13:00,312.4678,308.3426
2017-12-18 14:00,311.9642,307.9984
2017-12-18 15:00,311.3136,306.8508
2017-12-18 16:00,308.2271,303.4522
2017-12-18 17:00,304.6446,299.6245
2017-12-18 18:00,299.9781,295.3122
2017-12-18 19:00,294.4692,290.6818
2017-12-18 20:00,291.0475,286.1142
2017-12-18 21:00,285.5896,283.7983
2017-12-18 22:00,282.2801,277.1566
2017-12-18 23:00,277.566,276.7284
2017-12-19 00:00,277.5022,278.0441
2017-12-19 01:00,274.1935,275.408
2017-12-19 02:00,277.506,276.4302
2017-12-19 03:00,279.174,277.0359
2017-12-19 04:00,283.0748,280.9199
2017-12-19 05:00,287.3791,284.3159
2017-12-19 06:00,292.3047,289.013
2017-12-19 07:00,297.7292,294.732
2017-12-19 08:00,303.234,299.7652
2017-12-19 09:00,306.8423,
2017-12-19 10:00,309.6421,306.2551
2017-12-19 11:00,312.235,309.0137
2017-12-19 12:00,314.128,310.6618
2017-12-19 13:00,313.9064,310.4068
2017-12-19 14:00,312.6721,309.5469
2017-12-19 15:00,310.4523,306.7775
2017-12-19 16:00,306.4853,302.5406
2017-12-19 17:00,301.8975,297.0353
2017-12-19 18:00,295.7505,290.6859
2017-12-19 19:00,290.2089,285.1855
2017-12-19 20:00,285.0856,279.0246
2017-12-19 21:00,280.3945,273.5486
2017-12-19 22:00,274.2697,269.144
2017-12-19 23:00,274.35,266.6635
2017-12-20 00:00,273.1213,265.8627
2017-12-20 01:00,272.5321,266.0475
2017-12-20 02:00,273.1635,267.5048
2017-12-20 03:00,275.2008,269.763
2017-12-20 04:00,277.4641,272.8774
2017-12-20 05:00,280.6937,277.0049
2017-12-20 06:00,285.2167,281.951
2017-12-20 07:00,290.3289,286.8206
2017-12-20 08:00,294.0365,290.3345
2017-12-20 09:00,297.7469,295.6066
2017-12-20 10:00,301.263,298.9418
2017-12-20 11:00,303.4311,301.4113
2017-12-20 12:00,305.692,303.3442
2017-12-20 13:00,306.5676,303.9983
2017-12-20 14:00,306.0447,302.8466
2017-12-20 15:00,304.6032,301.8913
2017-12-20 16:00,303.2765,299.2737
2017-12-20 17:00,300.2985,294.0763
2017-12-20 18:00,296.4631,288.7104
2017-12-20 19:00,292.5965,283.5453
2017-12-20 20:00,286.0309,279.2492
2017-12-20 21:00,277.7139,275.1595
2017-12-20 22:00,272.666,271.5795
2017-12-20 23:00,270.5954,268.5732
2017-12-21 00:00,270.9507,266.2666
2017-12-21 01:00,271.1274,268.1118
2017-12-21 02:00,272.727,268.5768
2017-12-21 03:00,275.6471,
2017-12-21 04:00,279.1258,271.73
2017-12-21 05:00,280.8169,
2017-12-21 06:00,286.9461,282.259
2017-12-21 07:00,292.7629,289.843
2017-12-21 08:00,298.9598,295.9483
2017-12-21 09:00,304.7071,
2017-12-21 10:00,305.113,
2017-12-21 11:00,312.9475,305.4444
2017-12-21 12:00,309.1455,308.4483
2017-12-21 13:00,313.5077,311.7152
2017-12-21 14:00,313.5991,310.0959
2017-12-21 15:00,311.979,307.6319
2017-12-21 16:00,308.1346,303.3065
2017-12-21 17:00,303.9237,298.2629
2017-12-21 18:00,299.7145,292.9093
2017-12-21 19:00,294.2369,288.2303
2017-12-21 20:00,289.3646,283.5825
2017-12-21 21:00,285.0658,279.4462
2017-12-21 22:00,281.3118,276.0157
2017-12-21 23:00,278.18,272.3526
2017-12-22 00:00,276.2384,270.4868
2017-12-22 01:00, ,270.0388
2017-12-22 02:00,276.4644,271.0244
2017-12-22 03:00,280.2892,274.1362
2017-12-22 04:00,282.6686,276.8914
2017-12-22 05:00,286.5748,281.8844
2017-12-22 06:00,290.58,286.7855
2017-12-22 07:00,295.5192,292.1381
2017-12-22 08:00,299.8414,296.3652
2017-12-22 09:00,303.862,300.7317
2017-12-22 10:00,306.7112,304.4709
2017-12-22 11:00,309.3808,306.5298
2017-12-22 12:00,311.2149,308.4807
2017-12-22 13:00,311.4392,308.5754
2017-12-22 14:00,310.8563,307.9395
2017-12-22 15:00,310.4599,307.4568
2017-12-22 16:00,310.5599,301.5246
2017-12-22 17:00,303.653,295.7183
2017-12-22 18:00,297.7885,288.4375
2017-12-22 19:00,298.496,281.9492
2017-12-22 20:00,298.283,277.7302
2017-12-22 21:00,281.5061,274.1302
2017-12-22 22:00,273.211,270.2311
2017-12-22 23:00,270.6174,268.5223
2017-12-23 00:00,271.3935,266.8538
2017-12-23 01:00,269.9279,265.9387
2017-12-23 02:00,270.8582,268.9113
2017-12-23 03:00,274.3763,275.5328
2017-12-23 04:00,279.3459,282.0714
2017-12-23 05:00,286.2884,284.8411
2017-12-23 06:00,296.5189,295.4339
2017-12-23 07:00,301.6259,302.8866
2017-12-23 08:00,307.5412,308.4482
2017-12-23 09:00,312.3706,310.2203
2017-12-23 10:00,313.3449,310.3074
