Real-time, Radiation Down Station 1, Radiation Down Station 2
2017-12-10 19:00,102.9858,90.9113
2017-12-10 20:00,59.60812,52.03528
2017-12-10 21:00,37.39604,33.2299
2017-12-10 22:00, ,
2017-12-10 23:00,0,29.69687
2017-12-11 00:00,NAN,28.27394
2017-12-11 01:00,NAN,49.9907
2017-12-11 02:00,NAN,73.43285
2017-12-11 03:00,NAN,117.0673
2017-12-11 04:00,NAN,169.7924
2017-12-11 05:00,NAN,268.3663
2017-12-11 06:00,NAN,333.9827
2017-12-11 07:00,NAN,392.8788
2017-12-11 08:00,NAN,432.7814
2017-12-11 09:00,NAN,502.9425
2017-12-11 10:00,NAN,519.6024
2017-12-11 11:00, ,
2017-12-11 12:00,NAN,568.7214
2017-12-11 13:00,NAN,478.4676
2017-12-11 14:00,NAN,378.3722
2017-12-11 15:00,NAN,311.9742
2017-12-11 16:00,0,228.3014
2017-12-11 17:00,182.8439,188.7634
2017-12-11 18:00,124.072,138.3698
2017-12-11 19:00,87.97268,93.23046
2017-12-11 20:00,55.55943,70.1158
2017-12-11 21:00,63.98328,43.34826
2017-12-11 22:00,28.44631,27.19082
2017-12-11 23:00,32.5022,35.56665
2017-12-12 00:00,48.43512,39.71742
2017-12-12 01:00,68.56105,51.00671
2017-12-12 02:00,97.95982,100.3238
2017-12-12 03:00, ,181.3776
2017-12-12 04:00,197.3878,231.2905
2017-12-12 05:00,221.4365,356.962
2017-12-12 06:00, ,
2017-12-12 07:00,507.6157,515.87
2017-12-12 08:00,603.8814,589.0375
2017-12-12 09:00,713.5336,414.4757
2017-12-12 10:00,746.2669,
2017-12-12 11:00,653.0756,629.567
2017-12-12 12:00,662.4963,590.0151
2017-12-12 13:00,607.9777,543.1956
2017-12-12 14:00,547.2975,477.792
2017-12-12 15:00,469.7552,414.4192
2017-12-12 16:00,324.4023,341.7786
2017-12-12 17:00,251.1417,
2017-12-12 18:00,231.7231,195.8739
2017-12-12 19:00,197.9895,187.2289
2017-12-12 20:00,99.21202,65.489
2017-12-12 21:00,32.5209,60.45632
2017-12-12 22:00,36.73998,53.1942
2017-12-12 23:00,46.15414,52.29904
2017-12-13 00:00,57.28818,77.02973
2017-12-13 01:00,53.29515,104.1151
2017-12-13 02:00,143.4254,
2017-12-13 03:00,200.8927,157.8153
2017-12-13 04:00,285.1941,315.7995
2017-12-13 05:00, ,387.1464
2017-12-13 06:00,457.8812,478.7642
2017-12-13 07:00,526.2324,335.1562
2017-12-13 08:00,592.6356,477.7051
2017-12-13 09:00,547.9208,510.2913
2017-12-13 10:00,625.8492,473.726
2017-12-13 11:00,696.254,478.185
2017-12-13 12:00,674.3284,548.4978
2017-12-13 13:00,706.3054,486.6501
2017-12-13 14:00,684.72,448.2688
2017-12-13 15:00,429.3007,359.0293
2017-12-13 16:00,359.8712,284.9378
2017-12-13 17:00,323.73,243.6478
2017-12-13 18:00,232.8927,165.7608
2017-12-13 19:00,284.5194,140.2791
2017-12-13 20:00,107.7957,100.3605
2017-12-13 21:00,64.37678,65.01092
2017-12-13 22:00, ,
2017-12-13 23:00,44.15747,53.16218
2017-12-14 00:00,65.91561,76.7565
2017-12-14 01:00,88.71468,109.6807
2017-12-14 02:00, ,167.2116
2017-12-14 03:00,209.3526,239.164
2017-12-14 04:00,288.3959,318.9361
2017-12-14 05:00,369.5236,396.9254
2017-12-14 06:00,455.3876,471.9497
2017-12-14 07:00,534.9906,537.8555
2017-12-14 08:00,600.0956,587.484
2017-12-14 09:00,649.4086,647.4684
2017-12-14 10:00,675.3943,643.0281
2017-12-14 11:00,676.8202,633.0808
2017-12-14 12:00,657.6078,605.6294
2017-12-14 13:00,614.3581,560.2488
2017-12-14 14:00,554.5032,500.1976
2017-12-14 15:00,480.7252,432.4837
2017-12-14 16:00,396.17,353.7017
2017-12-14 17:00,309.7661,272.077
2017-12-14 18:00,228.6127,201.1997
2017-12-14 19:00,157.8873,142.7038
2017-12-14 20:00,101.7146,96.63321
2017-12-14 21:00,64.26466,66.354
2017-12-14 22:00,47.10817,51.76094
2017-12-14 23:00,45.427,54.28113
2017-12-15 00:00,65.40851,78.03609
2017-12-15 01:00,89.19387,110.479
2017-12-15 02:00,139.6687,167.9698
2017-12-15 03:00, ,240.289
2017-12-15 04:00,288.4937,321.9028
2017-12-15 05:00,371.5346,402.1925
2017-12-15 06:00,457.4686,478.6979
2017-12-15 07:00,536.9454,546.7854
2017-12-15 08:00,601.1012,600.9758
2017-12-15 09:00,649.0466,641.2352
2017-12-15 10:00,676.7042,659.2696
2017-12-15 11:00,679.0736,651.3026
2017-12-15 12:00,654.2467,622.623
2017-12-15 13:00,610.3587,574.0063
2017-12-15 14:00,551.4018,516.3924
2017-12-15 15:00,478.9259,443.9437
2017-12-15 16:00,395.3696,364.9921
2017-12-15 17:00,312.0486,285.4854
2017-12-15 18:00,228.4757,210.5608
2017-12-15 19:00,160.666,147.9836
2017-12-15 20:00,103.0131,100.2934
2017-12-15 21:00,65.77024,68.39464
2017-12-15 22:00,49.14929,54.24804
2017-12-15 23:00,46.91008,55.67912
2017-12-16 00:00,66.34204,80.1847
2017-12-16 01:00,90.17818,113.4778
2017-12-16 02:00,139.7528,170.2993
2017-12-16 03:00,207.8213,242.8388
2017-12-16 04:00,286.7453,322.0898
2017-12-16 05:00,369.9218,403.5615
2017-12-16 06:00,453.7955,483.0037
2017-12-16 07:00,531.9816,555.0343
2017-12-16 08:00,597.4822,611.5368
2017-12-16 09:00,645.3822,647.9831
2017-12-16 10:00,673.5611,665.9103
2017-12-16 11:00,674.0344,657.8263
2017-12-16 12:00,653.7552,628.5442
2017-12-16 13:00,610.9609,585.4637
2017-12-16 14:00,551.0516,522.4465
2017-12-16 15:00,472.7938,448.1105
2017-12-16 16:00,387.693,369.2972
2017-12-16 17:00,312.7299,291.2441
2017-12-16 18:00,223.3993,216.1857
2017-12-16 19:00,149.5866,153.9327
2017-12-16 20:00,49.94388,70.10006
2017-12-16 21:00,40.64038,45.3174
2017-12-16 22:00,32.76192,34.53668
2017-12-16 23:00,47.01051,61.34547
2017-12-17 00:00,67.25318,78.4731
2017-12-17 01:00,64.7566,109.7201
2017-12-17 02:00, ,124.7031
2017-12-17 03:00,212.7594,271.6021
2017-12-17 04:00,330.5397,349.9356
2017-12-17 05:00,344.2442,463.3551
2017-12-17 06:00,457.6126,452.09
2017-12-17 07:00,539.5709,542.0984
2017-12-17 08:00,599.4473,605.8368
2017-12-17 09:00,614.5931,632.8744
2017-12-17 10:00,676.0755,669.3627
2017-12-17 11:00,667.3121,653.0168
2017-12-17 12:00,654.5505,628.8666
2017-12-17 13:00,610.548,583.3066
2017-12-17 14:00,551.0104,522.909
2017-12-17 15:00,479.9644,449.9013
2017-12-17 16:00,396.4184,368.0273
2017-12-17 17:00,316.1605,287.637
2017-12-17 18:00,235.1507,212.8237
2017-12-17 19:00,164.8753,150.1932
2017-12-17 20:00,107.1645,103.0396
2017-12-17 21:00,69.88281,70.71194
2017-12-17 22:00,50.81229,56.1753
2017-12-17 23:00,47.9745,58.30719
2017-12-18 00:00,67.05494,82.1148
2017-12-18 01:00,91.19392,114.0372
2017-12-18 02:00,140.4189,169.8093
2017-12-18 03:00,207.2576,
2017-12-18 04:00,286.0328,318.1451
2017-12-18 05:00,366.8163,399.5392
2017-12-18 06:00,447.6109,478.2341
2017-12-18 07:00,526.7486,547.4611
2017-12-18 08:00,589.9916,601.3456
2017-12-18 09:00,638.5313,
2017-12-18 10:00,666.079,
2017-12-18 11:00, ,648.8512
2017-12-18 12:00,647.8662,621.7393
2017-12-18 13:00,607.0729,577.2713
2017-12-18 14:00,548.5508,517.7872
2017-12-18 15:00,473.9252,442.715
2017-12-18 16:00,391.7976,363.113
2017-12-18 17:00,308.5573,282.713
2017-12-18 18:00,229.8093,208.4609
2017-12-18 19:00,159.2464,145.2256
2017-12-18 20:00,102.5354,97.5819
2017-12-18 21:00,66.66004,66.77871
2017-12-18 22:00,48.38062,51.44672
2017-12-18 23:00,45.66626,54.126
2017-12-19 00:00,64.15922,76.79496
2017-12-19 01:00,87.3297,108.2188
2017-12-19 02:00,134.9728,162.6849
2017-12-19 03:00,200.1006,231.1999
2017-12-19 04:00,275.9229,308.4105
2017-12-19 05:00,356.3544,386.7042
2017-12-19 06:00,440.4237,463.41
2017-12-19 07:00,519.1946,532.0188
2017-12-19 08:00,584.5543,589.8958
2017-12-19 09:00,634.1569,
2017-12-19 10:00,662.262,650.6736
2017-12-19 11:00,665.009,643.4926
2017-12-19 12:00,641.9344,616.3205
2017-12-19 13:00,602.5577,573.7369
2017-12-19 14:00,544.0168,513.202
2017-12-19 15:00,472.6339,442.5498
2017-12-19 16:00,391.4696,363.5258
2017-12-19 17:00,309.0325,281.6155
2017-12-19 18:00,230.4959,208.1612
2017-12-19 19:00,159.5984,143.3092
2017-12-19 20:00,104.1596,97.56886
2017-12-19 21:00,68.38894,66.53561
2017-12-19 22:00,48.98647,53.22871
2017-12-19 23:00,46.80014,55.37982
2017-12-20 00:00,64.86516,77.1189
