Real-time,Station1, Station2
,,
12/15/2017 0:00,-1.006,0.014
12/15/2017 1:00,-1.006,0.012
12/15/2017 2:00,-1.007,0.013
12/15/2017 3:00,  ,0.01
12/15/2017 4:00,  ,0.013
12/15/2017 5:00,-1.01,0.012
12/15/2017 6:00,-1.008,0.013
12/15/2017 7:00,-1.009,0.011
12/15/2017 8:00,-1.011,
12/15/2017 9:00,  ,0.011
12/15/2017 10:00,  ,0.014
12/15/2017 11:00,  ,0.012
12/15/2017 12:00,  ,0.012
12/15/2017 13:00,  ,0.009
12/15/2017 14:00,  ,0.009
12/15/2017 15:00,  ,0.01
12/15/2017 16:00,-1.005,0.009
12/15/2017 17:00,-1.003,0.009
12/15/2017 18:00,-1.01,0.007
12/15/2017 19:00,-1.009,0.007
12/15/2017 20:00,-1.008,0.009
12/15/2017 21:00,-1.008,0.01
12/15/2017 22:00,-1.009,0.006
12/15/2017 23:00,-1.012,0.009
12/16/2017 0:00,-1.01,0.009
12/16/2017 1:00,-1.01,0.009
12/16/2017 2:00,-1.011,0.007
12/16/2017 3:00,-1.009,0.008
12/16/2017 4:00,  ,0.008
12/16/2017 5:00,  ,0.007
12/16/2017 6:00,-1.01,0.007
12/16/2017 7:00,  ,0.008
12/16/2017 8:00,  ,0.006
12/16/2017 9:00,  ,0.005
12/16/2017 10:00,  ,0.01
12/16/2017 11:00,-1.172,0.011
12/16/2017 12:00,  ,0.89
12/16/2017 13:00,-0.818,0.004
12/16/2017 14:00,  ,0.006
12/16/2017 15:00,-1.164,0
12/16/2017 16:00,-1.141,0.003
12/16/2017 17:00,  ,0.004
12/16/2017 18:00,  ,0.003
12/16/2017 19:00,  ,-0.002
12/16/2017 20:00,  ,0.001
12/16/2017 21:00,-1.015,0.003
12/16/2017 22:00,-1.008,0
12/16/2017 23:00,-1.009,0.003
12/17/2017 0:00,-1.009,-0.001
12/17/2017 1:00,-1.009,0.002
12/17/2017 2:00,  ,0.003
12/17/2017 3:00,-1.016,0.004
12/17/2017 4:00,-1.018,0.003
12/17/2017 5:00,-1.018,0.002
12/17/2017 6:00,-1.022,0.001
12/17/2017 7:00,-1.025,0
12/17/2017 8:00,-1.219,-0.002
12/17/2017 9:00,-1.11,0
12/17/2017 10:00,-1.09,-0.002
12/17/2017 11:00,-0.849,
12/17/2017 12:00,-1.02,-0.199
12/17/2017 13:00,-0.838,-0.206
12/17/2017 14:00,  ,0.17
12/17/2017 15:00,-0.844,
12/17/2017 16:00,-0.834,-0.004
12/17/2017 17:00,-1.018,
12/17/2017 18:00,-1.021,-0.2
12/17/2017 19:00,-1.02,-0.004
12/17/2017 20:00,-1.023,0.003
12/17/2017 21:00,-1.023,-0.004
12/17/2017 22:00,-1.022,-0.009
12/17/2017 23:00,-1.019,-0.006
12/18/2017 0:00,-1.019,-0.013
12/18/2017 1:00,-0.819,-0.013
12/18/2017 2:00,-1.022,-0.014
12/18/2017 3:00,-1.023,
12/18/2017 4:00,-1.023,-0.018
12/18/2017 5:00,-1.022,-0.014
12/18/2017 6:00,-1.023,-0.018
12/18/2017 7:00,-1.023,-0.016
12/18/2017 8:00,-0.883,0.143
12/18/2017 9:00,-1.201,
12/18/2017 10:00,-0.751,
12/18/2017 11:00,  ,
12/18/2017 12:00,-1.014,0.17
12/18/2017 13:00,-1.203,0.888
12/18/2017 14:00,-0.858,0.025
12/18/2017 15:00,-0.843,0.043
12/18/2017 16:00,-1.253,-0.252
12/18/2017 17:00,-1.019,0.142
12/18/2017 18:00,-1.019,0.885
12/18/2017 19:00,  ,
12/18/2017 20:00,-1.015,0.126
12/18/2017 21:00,  ,0.038
12/18/2017 22:00,-1.016,
12/18/2017 23:00,  ,0.036
12/19/2017 0:00,  ,0.034
12/19/2017 1:00,-1.096,
12/19/2017 2:00,-1.023,0.013
12/19/2017 3:00,-1.023,0.024
12/19/2017 4:00,-1.02,-0.009
12/19/2017 5:00,-1.021,-0.273
12/19/2017 6:00,-1.013,-0.255
12/19/2017 7:00,  ,-0.216
12/19/2017 8:00,-1.011,
12/19/2017 9:00,-1.013,
12/19/2017 10:00,  ,0.164
12/19/2017 11:00,-1.25,0.165
12/19/2017 12:00,-1.267,0.146
12/19/2017 13:00,-1.243,0.159
12/19/2017 14:00,  ,0.156
12/19/2017 15:00,-0.873,0.158
12/19/2017 16:00,  ,0.157
12/19/2017 17:00,  ,
12/19/2017 18:00,-1.005,-0.199
12/19/2017 19:00,-1.012,
12/19/2017 20:00,-1.01,0.127
12/19/2017 21:00,-1.006,-0.301
12/19/2017 22:00,-1.009,
12/19/2017 23:00,-1.014,
12/20/2017 0:00,-1.016,0.008
12/20/2017 1:00,-1.016,0.006
12/20/2017 2:00,-1.012,0.001
12/20/2017 3:00,-1.017,0.004
12/20/2017 4:00,-1.021,0.008
12/20/2017 5:00,-1.023,0.018
12/20/2017 6:00,-1.024,
